0.00	  0.016000	  0.014000	  0.024000	  0.000000
0.02	  0.016000	  0.004000	  0.004000	  0.010000
0.04	  0.014000	  0.006000	  0.000000	  0.006000
0.06	  0.012000	  0.006000	  0.000000	  0.004000
0.08	  0.014000	  0.006000	  0.002000	  0.004000
0.10	  0.006000	  0.008000	  0.006000	  0.004000
0.12	  0.012000	  0.004000	  0.002000	  0.008000
0.14	  0.004000	  0.010000	  0.010000	  0.004000
0.16	  0.012000	  0.012000	  0.004000	  0.002000
0.18	  0.004000	  0.006000	  0.012000	  0.012000
0.20	  0.016000	  0.006000	  0.006000	  0.004000
0.22	  0.012000	  0.004000	  0.006000	  0.010000
0.24	  0.012000	  0.016000	  0.006000	  0.004000
0.26	  0.014000	  0.014000	  0.004000	  0.010000
0.28	  0.014000	  0.014000	  0.008000	  0.008000
0.30	  0.012000	  0.012000	  0.010000	  0.006000
0.32	  0.006000	  0.020000	  0.012000	  0.004000
0.34	  0.016000	  0.020000	  0.012000	  0.000000
0.36	  0.002000	  0.026000	  0.012000	  0.006000
0.38	  0.018000	  0.028000	  0.006000	  0.000000
0.40	  0.014000	  0.024000	  0.014000	  0.002000
0.42	  0.018000	  0.020000	  0.008000	  0.006000
0.44	  0.016000	  0.022000	  0.008000	  0.008000
0.46	  0.020000	  0.024000	  0.020000	  0.002000
0.48	  0.014000	  0.026000	  0.016000	  0.002000
0.50	  0.016000	  0.028000	  0.014000	  0.006000
0.52	  0.004000	  0.032000	  0.024000	  0.008000
0.54	  0.018000	  0.030000	  0.018000	  0.000000
0.56	  0.014000	  0.042000	  0.012000	  0.004000
0.58	  0.014000	  0.026000	  0.024000	  0.008000
0.60	  0.006000	  0.054000	  0.012000	  0.000000
0.62	  0.016000	  0.036000	  0.014000	  0.008000
0.64	  0.016000	  0.034000	  0.024000	  0.000000
0.66	  0.008000	  0.050000	  0.016000	  0.006000
0.68	  0.016000	  0.038000	  0.018000	  0.008000
0.70	  0.016000	  0.028000	  0.032000	  0.004000
0.72	  0.018000	  0.038000	  0.022000	  0.006000
0.74	  0.024000	  0.040000	  0.024000	  0.002000
0.76	  0.020000	  0.034000	  0.034000	  0.004000
0.78	  0.030000	  0.034000	  0.022000	  0.004000
0.80	  0.016000	  0.056000	  0.018000	  0.006000
0.82	  0.018000	  0.040000	  0.032000	  0.002000
0.84	  0.018000	  0.052000	  0.032000	  0.004000
0.86	  0.026000	  0.046000	  0.024000	  0.004000
0.88	  0.026000	  0.052000	  0.024000	  0.002000
0.90	  0.010000	  0.060000	  0.026000	  0.008000
0.92	  0.016000	  0.042000	  0.030000	  0.008000
0.94	  0.020000	  0.040000	  0.038000	  0.010000
0.96	  0.036000	  0.044000	  0.028000	  0.004000
0.98	  0.024000	  0.058000	  0.026000	  0.000000
1.00	  0.016000	  0.058000	  0.034000	  0.006000
